,Highest educational level,Used a method at last sexual intercourse,Wife justified asking husband to use condom if he has STI,Drugs to avoid HIV transmission to baby during pregnancy,Total lifetime number of sex partners,Heard of ARVs to treat HIV,Respondent can refuse sex,Respondent can ask partner to use a condom,Knowledge and use of HIV test kits,Perception Mean
74,1,0,1,0,1,0,1,1,0,0.5
75,1,0,1,0,1,0,1,1,0,0.5
76,1,0,0,0,1,0,0,0,0,0.125
77,2,1,1,1,1,0,1,1,0,0.75
78,2,0,1,1,1,1,1,1,0,0.75
79,2,0,0,0,1,1,1,1,0,0.5
80,3,0,0,0,1,1,1,1,0,0.5
81,1,0,0,0,1,0,1,1,0,0.375
82,2,0,0,0,1,1,0,0,0,0.25
83,3,0,1,1,1,1,1,1,1,0.875
84,2,0,1,1,1,1,1,1,0,0.75
85,2,0,0,0,1,0,1,0,0,0.25
86,2,0,1,0,1,1,1,0,0,0.5
87,2,0,1,1,1,1,1,1,1,0.875
88,3,0,0,0,1,0,1,1,0,0.375
89,2,1,1,0,1,0,1,1,0,0.625
90,2,0,1,0,1,0,1,0,0,0.375
91,2,0,1,0,1,1,1,1,1,0.75
92,2,1,1,0,1,0,0,1,0,0.5
93,1,0,1,0,1,0,1,1,0,0.5
94,3,0,0,0,1,0,0,1,0,0.25
95,3,0,1,1,1,1,1,1,1,0.875
96,1,0,1,0,1,0,1,1,0,0.5
97,3,0,1,0,1,1,1,0,0,0.5
98,3,0,1,1,1,1,1,1,0,0.75
99,1,0,1,0,1,0,1,0,0,0.375
100,3,0,1,0,1,0,1,0,0,0.375
101,3,0,1,0,1,1,1,1,1,0.75
102,2,1,1,1,1,1,1,0,0,0.75
103,2,0,1,0,1,1,1,1,0,0.625
104,1,0,1,0,1,0,1,1,0,0.5
105,1,0,1,0,1,0,1,0,0,0.375
106,1,0,1,0,1,0,1,1,0,0.5
107,1,0,0,0,1,0,1,0,0,0.25
108,1,0,1,0,1,0,0,0,0,0.25
109,2,0,0,0,1,0,1,0,0,0.25
110,3,0,1,0,1,1,1,1,0,0.625
111,2,0,0,0,1,0,1,1,0,0.375
112,2,0,1,1,1,1,1,1,1,0.875
113,1,0,1,0,1,1,1,0,0,0.5
114,1,0,0,0,1,0,1,0,0,0.25
115,3,0,1,0,1,0,1,0,0,0.375
116,2,0,1,0,1,0,1,0,0,0.375
117,1,0,1,0,1,0,1,1,0,0.5
118,1,0,1,0,1,0,1,1,0,0.5
119,1,0,1,0,1,0,0,0,1,0.375
120,1,1,1,0,1,0,1,1,0,0.625
121,1,0,0,0,1,0,1,0,0,0.25
122,2,1,0,0,1,0,1,0,0,0.375
123,3,1,1,1,1,1,0,0,1,0.75
124,2,0,0,0,1,1,0,0,0,0.25
125,1,1,0,0,1,0,1,0,0,0.375
126,2,1,0,1,1,0,0,0,0,0.375
127,2,1,1,0,1,0,1,1,0,0.625
128,2,0,1,0,1,0,1,0,1,0.5
129,1,0,0,0,1,0,1,0,0,0.25
130,2,1,1,0,1,0,1,1,0,0.625
131,2,1,1,0,1,0,1,1,0,0.625
132,3,1,1,0,1,0,1,1,1,0.75
133,3,0,1,1,1,1,0,0,1,0.625
134,2,1,0,0,1,0,0,1,0,0.375
135,2,0,1,1,1,1,1,1,1,0.875
136,2,0,1,0,1,0,1,1,0,0.5
137,3,0,1,0,1,0,0,0,1,0.375
138,3,0,1,1,1,0,1,1,0,0.625
139,2,0,0,0,1,0,1,0,0,0.25
140,1,0,1,0,1,0,1,0,0,0.375
141,2,1,0,0,1,0,0,0,1,0.375
142,2,0,1,0,1,0,1,0,1,0.5
143,2,0,1,0,1,0,1,0,1,0.5
144,2,0,0,0,1,0,1,1,0,0.375
145,1,0,1,0,1,0,1,1,0,0.5
146,2,0,0,0,1,1,1,1,0,0.5
147,2,0,1,0,1,0,1,1,0,0.5
148,3,0,1,0,1,0,1,1,0,0.5
149,3,1,1,0,1,0,1,1,0,0.625
150,3,0,0,0,1,1,1,0,0,0.375
151,2,0,1,0,1,0,1,1,0,0.5
152,3,0,1,0,1,0,1,1,0,0.5
153,3,1,0,0,1,1,1,0,0,0.5
154,3,0,1,0,1,1,1,1,0,0.625
155,2,0,0,0,1,0,1,0,0,0.25
156,1,1,1,0,1,0,1,1,0,0.625
157,1,0,1,0,1,0,1,1,0,0.5
158,2,1,1,0,1,0,1,1,0,0.625
159,1,1,1,0,1,0,1,1,0,0.625
160,2,0,0,0,1,1,1,0,0,0.375
161,1,0,1,0,1,0,1,1,0,0.5
162,2,0,1,0,1,0,1,1,0,0.5
163,2,1,1,0,1,0,1,1,0,0.625
164,3,0,1,0,1,0,1,1,0,0.5
165,2,1,1,0,1,1,1,1,1,0.875
166,1,0,0,0,1,0,0,1,1,0.375
167,1,0,1,0,1,1,1,0,0,0.5
168,2,1,1,0,1,0,1,1,0,0.625
169,2,0,1,0,1,0,1,1,0,0.5
170,2,0,1,0,1,0,1,1,0,0.5
171,1,0,1,0,1,0,1,0,0,0.375
172,3,1,1,0,1,0,1,1,0,0.625
173,2,1,1,0,1,0,1,1,1,0.75
174,3,0,1,1,1,0,1,0,0,0.5
175,2,1,1,0,1,0,1,1,0,0.625
176,3,1,1,0,1,0,1,1,0,0.625
177,2,1,1,0,1,0,1,1,0,0.625
178,3,1,1,0,1,0,1,1,0,0.625
179,2,1,1,0,1,0,1,1,0,0.625
180,2,0,1,0,1,0,1,1,0,0.5
181,2,1,1,0,1,0,1,1,0,0.625
182,3,0,1,0,1,1,1,1,0,0.625
183,2,1,1,0,1,0,1,1,0,0.625
184,3,1,1,0,1,0,1,1,0,0.625
185,2,0,0,0,1,0,1,0,0,0.25
186,2,1,0,0,1,0,1,1,1,0.625
187,3,0,1,0,1,1,1,1,1,0.75
188,1,0,1,0,1,0,0,1,0,0.375
189,1,1,0,0,1,0,1,1,0,0.5
190,2,0,1,0,1,0,0,0,0,0.25
191,3,0,1,1,1,1,1,1,1,0.875
192,2,1,1,1,1,1,1,1,0,0.875
193,1,1,0,0,1,0,1,0,0,0.375
194,1,0,0,0,1,0,0,0,0,0.125
195,1,0,0,0,1,0,0,0,0,0.125
196,2,0,0,0,1,0,1,1,0,0.375
197,2,1,0,0,1,0,1,1,0,0.5
198,1,0,0,0,1,0,1,0,0,0.25
199,1,0,0,0,1,0,0,0,0,0.125
200,3,1,1,0,1,0,1,1,0,0.625
201,2,1,1,0,1,1,1,0,0,0.625
202,3,1,0,0,1,0,1,1,0,0.5
203,1,1,1,0,1,0,0,0,0,0.375
204,3,1,1,0,1,0,1,0,0,0.5
205,3,0,1,0,1,0,0,0,0,0.25
206,3,0,1,0,1,0,1,0,0,0.375
207,2,0,1,0,1,1,1,1,1,0.75
208,1,1,0,0,1,1,1,1,1,0.75
209,2,1,1,0,1,1,1,1,0,0.75
210,2,0,0,0,1,1,1,0,0,0.375
211,2,1,0,0,1,1,0,1,0,0.5
212,2,0,1,1,1,1,1,0,1,0.75
213,2,1,0,0,1,1,1,0,0,0.5
214,3,0,1,0,1,0,1,0,0,0.375
215,3,0,1,1,1,0,1,0,0,0.5
216,3,1,0,0,1,0,1,0,0,0.375
217,3,1,1,0,1,0,0,1,1,0.625
218,2,1,0,0,1,0,0,0,0,0.25
219,3,0,0,1,1,0,1,1,0,0.5
220,3,1,1,0,1,0,0,0,0,0.375
221,3,0,0,0,1,0,0,0,0,0.125
222,2,1,1,0,1,0,1,1,0,0.625
223,2,0,0,1,1,1,1,0,0,0.5
224,2,0,0,0,1,0,0,0,0,0.125
225,3,1,0,1,1,1,0,0,1,0.625
226,2,0,0,0,1,0,1,0,0,0.25
227,3,0,0,0,1,0,1,1,0,0.375
228,3,1,1,0,1,0,1,1,0,0.625
229,3,0,0,0,1,0,1,1,0,0.375
230,3,0,0,0,1,0,0,0,0,0.125
231,2,0,1,0,1,0,1,0,0,0.375
232,2,0,0,0,1,0,1,0,0,0.25
233,3,0,0,0,1,0,1,0,0,0.25
234,2,1,1,0,1,0,0,1,0,0.5
235,1,0,0,0,1,0,1,0,0,0.25
236,1,0,0,1,1,0,1,0,0,0.375
237,2,0,1,0,1,1,1,0,0,0.5
238,2,0,0,0,1,0,1,0,0,0.25
239,1,0,1,0,1,0,1,0,0,0.375
240,2,0,0,0,1,0,1,0,0,0.25
241,3,0,0,0,1,0,0,1,0,0.25
242,3,1,0,0,1,0,1,0,0,0.375
243,3,1,0,0,1,0,1,0,0,0.375
244,3,0,0,1,1,1,1,0,0,0.5
245,2,1,0,0,1,0,0,0,0,0.25
246,1,0,0,0,1,0,1,0,0,0.25
247,2,0,0,0,1,0,1,0,0,0.25
248,2,1,0,0,1,0,1,0,0,0.375
249,3,1,1,1,1,1,1,1,0,0.875
250,2,0,0,0,1,0,1,0,0,0.25
251,1,0,1,1,1,0,1,0,0,0.5
252,2,0,0,0,1,0,1,0,0,0.25
253,3,0,0,0,1,0,0,0,0,0.125
254,3,0,0,0,1,0,1,1,0,0.375
255,3,0,0,1,1,1,1,1,1,0.75
256,3,0,1,0,1,0,1,1,1,0.625
257,2,1,0,0,1,0,0,1,0,0.375
258,2,0,0,0,1,0,1,0,0,0.25
259,2,0,0,0,1,0,1,0,0,0.25
260,2,0,0,0,1,0,1,0,0,0.25
261,1,1,0,0,1,0,1,0,0,0.375
262,1,0,0,0,1,1,1,0,0,0.375
263,1,0,0,0,1,0,1,0,0,0.25
264,3,0,0,0,1,0,1,0,0,0.25
265,2,0,0,0,1,0,1,0,0,0.25
266,1,0,0,0,1,0,1,0,0,0.25
267,2,0,0,0,1,0,0,0,0,0.125
268,3,0,0,0,1,1,1,1,0,0.5
269,2,0,1,0,1,0,1,0,0,0.375
270,2,0,0,0,1,0,1,1,0,0.375
271,2,0,0,0,1,0,1,0,0,0.25
272,3,0,1,0,1,0,0,0,0,0.25
273,2,0,0,0,1,0,1,0,0,0.25
274,1,0,0,0,1,0,0,0,0,0.125
275,3,1,1,0,1,0,1,1,1,0.75
276,3,1,0,0,1,0,0,1,0,0.375
277,3,0,0,0,1,0,1,0,0,0.25
278,2,0,1,0,1,0,1,0,0,0.375
279,2,1,1,0,1,1,1,0,0,0.625
280,2,0,0,0,1,0,0,0,0,0.125
281,3,0,0,0,1,0,1,0,0,0.25
282,3,0,0,0,1,1,1,0,1,0.5
283,3,0,0,0,1,0,0,0,1,0.25
284,3,0,0,0,1,1,0,0,0,0.25
285,3,0,1,0,1,0,1,1,0,0.5
286,2,0,0,0,1,0,0,0,1,0.25
287,1,1,0,0,1,1,0,0,0,0.375
288,2,0,0,0,1,0,1,0,0,0.25
289,3,0,0,0,1,0,1,1,1,0.5
290,2,0,0,0,1,0,1,0,0,0.25
291,1,0,0,0,1,0,0,0,0,0.125
292,3,0,0,0,1,0,0,1,0,0.25
293,2,0,1,0,1,1,1,1,0,0.625
294,3,0,0,0,1,0,1,0,0,0.25
295,2,0,1,1,1,0,1,0,0,0.5
296,2,0,0,1,1,1,0,0,0,0.375
297,3,0,1,0,1,0,1,1,0,0.5
298,3,0,1,0,1,0,1,1,0,0.5
299,3,0,0,0,1,0,1,1,0,0.375
300,3,0,0,0,1,1,1,0,0,0.375
301,3,1,0,0,1,0,1,0,0,0.375
302,2,0,0,0,1,0,1,0,0,0.25
303,3,0,0,0,1,0,1,0,0,0.25
304,2,0,0,0,1,0,1,0,0,0.25
305,3,1,0,0,1,0,1,1,0,0.5
306,2,1,0,0,1,0,1,0,0,0.375
307,2,0,0,0,1,0,1,0,0,0.25
308,2,0,0,0,1,1,1,0,0,0.375
309,1,0,0,0,1,1,1,0,0,0.375
310,2,0,0,0,1,0,1,0,0,0.25
311,1,0,0,0,1,0,0,0,0,0.125
312,3,0,0,0,1,0,1,0,0,0.25
313,2,0,0,0,1,0,0,0,0,0.125
314,2,0,0,0,1,0,1,0,0,0.25
315,1,1,0,0,1,0,1,0,0,0.375
316,3,0,0,0,1,1,0,0,0,0.25
317,2,0,0,1,1,1,0,0,0,0.375
318,3,1,1,0,1,1,1,1,1,0.875
319,3,0,0,1,1,1,0,0,0,0.375
320,2,0,0,0,1,0,0,0,0,0.125
321,2,0,0,0,1,0,0,0,0,0.125
322,3,0,0,1,1,0,0,0,0,0.25
323,1,0,0,1,1,0,0,0,0,0.25
324,2,0,0,1,1,1,1,0,0,0.5
325,1,0,0,0,1,0,0,0,0,0.125
326,2,0,0,1,1,0,0,0,0,0.25
327,3,0,0,0,1,0,0,0,0,0.125
328,3,0,0,0,1,1,0,0,0,0.25
329,2,0,0,0,1,1,0,0,0,0.25
330,2,0,0,0,1,0,0,0,0,0.125
331,3,0,0,0,1,0,0,0,0,0.125
332,3,0,0,1,1,1,0,0,1,0.5
333,1,0,0,0,1,0,0,0,0,0.125
334,2,0,0,0,1,1,0,0,0,0.25
335,3,1,0,1,1,1,0,1,0,0.625
336,2,0,0,0,1,0,0,0,0,0.125
337,1,0,0,0,1,0,0,0,0,0.125
338,2,0,0,0,1,0,0,0,0,0.125
339,2,1,0,1,1,1,0,0,0,0.5
340,1,0,0,0,1,1,0,0,0,0.25
341,1,0,0,0,1,0,0,0,0,0.125
342,2,0,0,0,1,0,0,0,0,0.125
343,3,0,0,0,1,1,0,0,0,0.25
344,3,0,0,0,1,0,1,1,0,0.375
345,2,1,0,0,1,1,0,0,0,0.375
346,1,0,0,0,1,0,0,0,0,0.125
347,2,0,0,1,1,1,0,0,1,0.5
348,2,0,0,1,1,0,0,0,0,0.25
349,2,0,0,0,1,0,0,0,1,0.25
350,2,0,0,0,1,0,0,0,0,0.125
351,2,0,0,0,1,0,0,0,0,0.125
352,2,0,0,1,1,0,0,0,0,0.25
353,3,0,0,0,1,0,0,0,0,0.125
354,1,0,0,1,1,1,0,0,0,0.375
355,1,0,0,0,1,0,0,0,0,0.125
356,3,0,0,1,1,0,0,0,0,0.25
357,1,0,0,0,1,0,0,0,0,0.125
358,1,0,0,1,1,0,0,0,0,0.25
359,3,0,0,1,1,0,0,0,0,0.25
360,3,1,0,0,1,0,0,0,0,0.25
361,2,0,0,0,1,0,0,0,0,0.125
362,3,0,0,1,1,1,0,0,0,0.375
363,3,0,0,1,1,1,0,0,0,0.375
364,2,0,0,0,1,0,0,1,0,0.25
365,1,0,0,0,1,0,0,0,0,0.125
366,2,0,0,0,1,1,0,0,0,0.25
367,2,0,0,1,1,0,0,0,1,0.375
368,2,0,0,0,1,1,0,0,0,0.25
369,2,0,0,1,1,1,0,0,0,0.375
370,2,0,0,1,1,0,0,0,0,0.25
371,2,1,1,0,1,0,0,0,0,0.375
372,1,0,0,0,1,0,0,0,0,0.125
373,2,0,0,0,1,1,0,0,1,0.375
374,3,0,0,1,1,0,0,0,0,0.25
375,2,0,0,0,1,0,0,0,0,0.125
376,2,0,0,0,1,0,0,0,0,0.125
377,2,0,0,0,1,1,0,0,0,0.25
378,2,1,0,0,1,0,0,0,0,0.25
379,1,0,0,0,1,0,0,0,0,0.125
380,2,0,0,0,1,0,0,0,0,0.125
381,1,0,0,0,1,0,0,0,0,0.125
382,3,1,0,0,1,0,0,0,0,0.25
383,2,0,0,0,1,0,0,0,1,0.25
384,2,0,0,0,1,0,0,0,1,0.25
385,2,0,0,0,1,1,0,0,1,0.375
386,1,0,0,0,1,0,0,0,0,0.125
387,3,1,0,0,1,0,0,0,1,0.375
388,2,0,0,0,1,0,0,0,0,0.125
389,2,0,0,0,1,0,0,0,0,0.125
390,2,0,1,0,1,0,0,0,0,0.25
391,1,0,0,0,1,0,0,0,0,0.125
392,1,1,1,0,1,0,1,0,0,0.5
393,1,1,1,0,1,1,1,0,0,0.625
394,1,0,1,0,1,0,1,1,0,0.5
395,2,1,0,0,1,0,1,0,0,0.375
396,2,1,0,1,1,0,1,0,0,0.5
397,2,1,1,0,1,0,0,0,0,0.375
398,2,1,1,0,1,0,1,1,0,0.625
399,1,0,1,0,1,0,1,0,0,0.375
400,3,1,1,0,1,1,1,1,0,0.75
401,2,0,1,0,1,0,0,1,0,0.375
402,2,1,1,0,1,0,1,1,0,0.625
403,2,0,0,0,1,0,1,0,0,0.25
404,2,0,0,0,1,0,1,0,0,0.25
405,2,1,0,0,1,0,1,1,0,0.5
406,2,1,1,0,1,0,1,1,0,0.625
407,3,0,0,0,1,0,1,1,1,0.5
408,2,0,1,0,1,0,1,1,1,0.625
409,2,1,1,0,1,0,1,1,0,0.625
410,3,1,1,0,1,0,1,1,0,0.625
411,2,1,1,0,1,0,1,1,0,0.625
412,2,0,1,0,1,0,1,1,0,0.5
413,1,1,1,0,1,0,1,1,0,0.625
414,2,0,1,0,1,0,1,1,0,0.5
415,3,0,1,0,1,0,1,1,0,0.5
416,3,0,1,0,1,0,1,1,0,0.5
417,1,1,1,0,1,0,1,1,0,0.625
418,2,1,1,0,1,0,1,1,0,0.625
419,1,0,1,0,1,0,1,1,0,0.5
420,2,1,1,0,1,0,1,1,0,0.625
421,2,1,0,0,1,0,1,0,0,0.375
422,1,0,1,0,1,0,1,1,0,0.5
423,1,0,1,0,1,0,1,1,0,0.5
424,1,1,0,0,1,0,0,0,0,0.25
425,1,1,0,0,1,0,0,0,0,0.25
426,3,0,1,0,1,0,1,0,0,0.375
427,3,1,1,0,1,0,1,0,0,0.5
428,2,1,0,0,1,0,1,1,0,0.5
429,1,0,0,0,1,0,0,0,0,0.125
430,2,1,0,0,1,0,1,0,0,0.375
431,3,0,1,0,1,0,1,1,0,0.5
432,2,1,0,0,1,0,1,0,0,0.375
433,2,0,0,0,1,0,1,0,0,0.25
434,1,0,0,0,1,0,0,0,0,0.125
435,2,1,0,0,1,0,1,0,0,0.375
436,2,0,0,0,1,0,0,0,0,0.125
437,1,0,0,0,1,0,0,0,0,0.125
438,1,0,0,0,1,0,1,0,0,0.25
439,2,0,1,0,1,0,0,0,0,0.25
440,1,0,0,0,1,0,0,0,0,0.125
441,1,1,1,0,1,0,1,1,0,0.625
442,1,0,1,0,1,0,1,1,0,0.5
443,1,1,1,0,1,0,1,1,0,0.625
444,2,1,1,0,1,0,1,1,0,0.625
445,1,0,1,0,1,0,1,1,0,0.5
446,3,1,1,0,1,0,1,1,0,0.625
447,2,1,1,0,1,1,1,1,1,0.875
448,1,0,1,0,1,0,1,1,0,0.5
449,1,1,1,0,1,0,1,1,0,0.625
450,1,1,1,0,1,0,1,1,0,0.625
451,1,1,1,0,1,0,1,1,0,0.625
452,1,0,1,0,1,0,1,1,0,0.5
453,2,1,1,0,1,0,1,1,0,0.625
454,1,1,1,0,1,0,1,1,0,0.625
455,3,1,1,0,1,0,1,1,0,0.625
456,1,1,1,0,1,0,1,1,0,0.625
457,2,0,1,0,1,0,1,1,0,0.5
458,2,0,1,0,1,0,1,1,0,0.5
459,1,0,1,0,1,0,1,1,0,0.5
460,2,0,1,0,1,0,1,1,0,0.5
461,1,0,1,0,1,0,1,1,0,0.5
462,2,1,1,0,1,0,1,1,0,0.625
463,2,1,1,0,1,0,1,1,0,0.625
464,1,1,1,0,1,0,1,1,0,0.625
465,1,1,1,0,1,0,1,1,0,0.625
466,2,1,1,0,1,0,1,1,0,0.625
467,1,1,1,0,1,0,1,1,0,0.625
468,2,0,0,0,1,0,1,0,0,0.25
469,2,1,0,0,1,0,1,0,0,0.375
470,1,1,0,0,1,0,1,1,0,0.5
471,3,0,0,0,1,0,1,0,0,0.25
472,1,0,0,0,1,0,1,0,0,0.25
473,1,0,0,0,1,0,1,0,0,0.25
474,2,0,0,0,1,0,1,1,0,0.375
475,1,1,0,0,1,0,1,1,0,0.5
476,1,0,0,0,1,0,1,0,0,0.25
477,1,1,0,0,1,0,1,0,0,0.375
478,1,1,1,0,1,0,1,1,0,0.625
479,1,0,0,0,1,0,1,1,0,0.375
480,3,1,1,0,1,0,1,0,0,0.5
481,2,0,1,0,1,0,1,0,0,0.375
482,2,1,0,0,1,0,1,1,0,0.5
483,1,0,1,0,1,0,1,1,0,0.5
484,1,0,0,0,1,0,0,0,0,0.125
485,1,1,0,0,1,0,1,0,0,0.375
486,1,1,0,0,1,0,1,1,0,0.5
487,3,0,0,0,1,0,1,1,0,0.375
488,3,1,1,0,1,0,1,1,0,0.625
489,1,1,1,0,1,0,1,1,0,0.625
490,1,0,1,0,1,0,1,0,0,0.375
491,1,1,0,0,1,0,0,1,0,0.375
492,1,1,1,0,1,0,1,1,0,0.625
493,2,1,1,0,1,0,1,1,0,0.625
494,2,0,0,0,1,0,1,1,0,0.375
495,1,0,1,0,1,0,1,1,0,0.5
496,1,1,1,0,1,0,1,1,0,0.625
497,1,0,0,0,1,0,1,1,0,0.375
498,2,0,0,0,1,0,1,1,0,0.375
499,2,0,1,0,1,0,1,1,0,0.5
500,2,1,0,0,1,0,1,1,0,0.5
501,2,1,1,0,1,0,1,1,0,0.625
502,1,1,1,0,1,0,1,1,0,0.625
503,2,0,1,0,1,0,1,1,0,0.5
504,1,0,1,0,1,0,1,1,0,0.5
505,1,0,1,0,1,0,1,1,0,0.5
506,1,0,1,0,1,0,1,1,0,0.5
507,3,1,1,0,1,1,1,1,0,0.75
508,1,1,1,0,1,0,1,1,0,0.625
509,3,1,1,0,1,0,0,1,0,0.5
510,3,1,1,1,1,1,1,0,1,0.875
511,3,1,1,0,1,1,0,0,0,0.5
512,2,1,1,0,1,0,0,0,0,0.375
513,3,1,1,0,1,0,0,0,0,0.375
514,2,1,1,0,1,0,0,0,0,0.375
515,2,0,1,1,1,1,0,0,0,0.5
516,3,1,1,1,1,0,0,0,0,0.5
517,3,0,1,1,1,1,1,1,1,0.875
518,2,1,0,0,1,0,0,0,0,0.25
519,3,0,1,1,1,0,0,0,0,0.375
520,2,1,1,0,1,0,0,1,0,0.5
521,2,1,1,0,1,0,1,0,0,0.5
522,1,1,0,1,1,0,0,0,0,0.375
523,3,1,1,1,1,1,0,0,0,0.625
524,1,1,1,1,1,1,1,1,0,0.875
525,1,1,0,1,1,0,0,1,0,0.5
526,2,0,1,1,1,0,1,1,0,0.625
527,2,1,1,1,1,1,1,1,0,0.875
528,2,0,0,1,1,1,1,1,0,0.625
529,1,0,1,0,1,0,1,0,0,0.375
530,2,1,0,1,1,1,1,0,0,0.625
531,3,0,0,0,1,0,0,0,0,0.125
532,3,0,0,1,1,1,1,1,1,0.75
533,2,0,0,0,1,0,1,1,0,0.375
534,3,0,1,0,1,1,1,1,1,0.75
535,3,1,0,1,1,0,1,1,0,0.625
536,3,1,0,1,1,1,1,0,0,0.625
537,3,1,0,1,1,1,0,0,0,0.5
538,3,0,1,1,1,1,1,0,0,0.625
539,3,0,0,1,1,1,1,0,0,0.5
540,3,0,0,0,1,0,1,1,0,0.375
541,3,1,0,1,1,1,1,0,0,0.625
542,2,1,0,0,1,0,1,0,0,0.375
543,2,0,0,1,1,1,0,0,0,0.375
544,2,0,0,1,1,1,1,1,0,0.625
545,2,1,0,0,1,0,0,0,0,0.25
546,3,0,0,1,1,1,0,0,0,0.375
547,3,1,0,1,1,1,0,0,0,0.5
548,3,1,0,1,1,1,0,0,0,0.5
549,2,0,0,0,1,1,0,0,0,0.25
550,2,0,1,1,1,1,0,0,0,0.5
551,3,1,1,1,1,1,0,0,0,0.625
552,3,0,1,1,1,1,0,0,0,0.5
553,3,0,1,1,1,1,0,0,0,0.5
554,3,1,1,0,1,0,0,0,0,0.375
555,3,1,1,0,1,0,0,0,0,0.375
556,3,1,1,0,1,0,0,0,0,0.375
557,3,1,1,1,1,1,0,0,0,0.625
558,2,1,1,1,1,1,0,0,0,0.625
559,1,0,1,1,1,1,0,0,0,0.5
560,3,0,1,1,1,1,0,0,0,0.5
561,3,1,1,1,1,1,0,0,0,0.625
562,3,0,1,1,1,0,0,0,0,0.375
563,3,1,1,0,1,0,0,0,0,0.375
564,1,1,1,0,1,0,0,0,0,0.375
565,3,1,1,0,1,1,0,0,1,0.625
566,2,0,0,1,1,1,0,0,0,0.375
567,3,0,1,0,1,1,1,1,1,0.75
568,3,1,1,0,1,0,1,0,0,0.5
569,3,1,1,1,1,1,0,0,1,0.75
570,3,0,1,1,1,0,1,1,0,0.625
